t,u_measured
8.850000000000000089e-01,1.106264113302640517e+00
8.900000000000000133e-01,1.033877627744805849e+00
8.950000000000000178e-01,1.045658488847406531e+00
9.000000000000000222e-01,1.098982304806119359e+00
9.050000000000000266e-01,1.239206983600042111e+00
9.100000000000000311e-01,1.281858797194067145e+00
9.150000000000000355e-01,1.302955827152862511e+00
9.200000000000000400e-01,1.310518424652181713e+00
9.250000000000000444e-01,1.222028740430824545e+00
9.300000000000000488e-01,1.129059319776130055e+00
9.350000000000000533e-01,1.075295471686858129e+00
9.400000000000000577e-01,9.759682448749239514e-01
9.450000000000000622e-01,9.925207444580507188e-01
9.500000000000000666e-01,9.342433775914507077e-01
9.550000000000000711e-01,1.005484149922267090e+00
9.599999999999999645e-01,1.044897227342140633e+00
9.649999999999999689e-01,9.266919711284498096e-01
9.699999999999999734e-01,9.561031584340187184e-01
9.749999999999999778e-01,1.008276958601240336e+00
9.799999999999999822e-01,9.924705539811318200e-01
9.849999999999999867e-01,9.608628415714103310e-01
9.899999999999999911e-01,9.671476966685804699e-01
9.949999999999999956e-01,1.083488545617569576e+00
1.000000000000000000e+00,1.151412153252666215e+00
1.005000000000000115e+00,1.131355967418573361e+00
1.010000000000000009e+00,1.169041609622219369e+00
1.015000000000000124e+00,1.168247418607093913e+00
1.020000000000000018e+00,1.104879363460043784e+00
1.024999999999999911e+00,1.076824247117594835e+00
1.030000000000000027e+00,9.447368338428641099e-01
1.034999999999999920e+00,1.007418417548452849e+00
1.040000000000000036e+00,1.011997808701096124e+00
1.044999999999999929e+00,1.000798570909126273e+00
1.050000000000000044e+00,1.015004458465704307e+00
1.054999999999999938e+00,9.164626931338479832e-01
1.060000000000000053e+00,8.677125400199676708e-01
1.064999999999999947e+00,7.746904490965018653e-01
1.070000000000000062e+00,8.557968998249656511e-01
1.074999999999999956e+00,9.098490911929807412e-01
1.080000000000000071e+00,9.711135544441337197e-01
1.084999999999999964e+00,1.054103071953214288e+00
1.090000000000000080e+00,1.145886595587655821e+00
1.094999999999999973e+00,1.089876764425481426e+00
1.100000000000000089e+00,1.061747949913143474e+00
1.104999999999999982e+00,1.047310406920099135e+00
1.110000000000000098e+00,9.720972386809167975e-01
1.114999999999999991e+00,9.310618755191440998e-01
1.120000000000000107e+00,1.030708910371891829e+00
1.125000000000000000e+00,1.053326438359442729e+00
1.130000000000000115e+00,1.023094761883228010e+00
1.135000000000000009e+00,9.777758498465097814e-01
1.140000000000000124e+00,8.734462198517961573e-01
1.145000000000000018e+00,8.893298048139249845e-01
1.150000000000000133e+00,8.783124937567501345e-01
1.155000000000000027e+00,8.724870831757248757e-01
1.159999999999999920e+00,9.289078366931252662e-01
1.165000000000000036e+00,1.026236578084596784e+00
1.169999999999999929e+00,1.111158992486765307e+00
1.175000000000000044e+00,9.978764347644946131e-01
1.179999999999999938e+00,9.670078979172307410e-01
1.185000000000000053e+00,9.317616729755135996e-01
1.189999999999999947e+00,8.796620345838870314e-01
1.195000000000000062e+00,8.781391988698455942e-01
1.199999999999999956e+00,9.032456324516749957e-01
1.205000000000000071e+00,1.016850901416205710e+00
1.209999999999999964e+00,9.823690079993746549e-01
1.215000000000000080e+00,9.829033880822438674e-01
1.219999999999999973e+00,1.020114974194428648e+00
1.225000000000000089e+00,8.664803339093447576e-01
1.229999999999999982e+00,8.825173447170195917e-01
1.235000000000000098e+00,7.951572269161988338e-01
1.239999999999999991e+00,8.307594514443168432e-01
1.245000000000000107e+00,9.524279424659377602e-01
1.250000000000000000e+00,1.008455957165772077e+00
1.255000000000000115e+00,1.068774449392840609e+00
1.260000000000000009e+00,9.787067965297550076e-01
1.265000000000000124e+00,9.887725556589086473e-01
1.270000000000000018e+00,9.213210307444619218e-01
1.275000000000000133e+00,8.860508992690248053e-01
1.280000000000000027e+00,8.814851847223581505e-01
1.284999999999999920e+00,9.902269267957861665e-01
1.290000000000000036e+00,1.053228596106959625e+00
1.294999999999999929e+00,1.112817335301319543e+00
1.300000000000000044e+00,1.089305481897528516e+00
1.304999999999999938e+00,1.067711812632755830e+00
1.310000000000000053e+00,8.903025043156911345e-01
1.314999999999999947e+00,9.167218641421812642e-01
1.320000000000000062e+00,9.302280642015654522e-01
1.324999999999999956e+00,9.875447456250570077e-01
1.330000000000000071e+00,1.195959906257516581e+00
1.334999999999999964e+00,1.108512685921812402e+00
1.340000000000000080e+00,1.152500633334696545e+00
1.344999999999999973e+00,1.053904516548811454e+00
1.350000000000000089e+00,9.555304284076796550e-01
1.354999999999999982e+00,9.431553578175088104e-01
1.360000000000000098e+00,8.774635983113954207e-01
1.364999999999999991e+00,1.063753057057895246e+00
1.370000000000000107e+00,1.110770956450265468e+00
1.375000000000000000e+00,1.197595564443596716e+00
1.380000000000000115e+00,1.157167821662433926e+00
1.385000000000000009e+00,1.085008819842184780e+00
1.390000000000000124e+00,1.052543190628349778e+00
1.395000000000000018e+00,1.047892397964243161e+00
1.400000000000000133e+00,1.178105817968654767e+00
1.405000000000000027e+00,1.123412859715653633e+00
1.409999999999999920e+00,1.138022043224156787e+00
1.415000000000000036e+00,1.140181507328746680e+00
1.419999999999999929e+00,1.143656361134469224e+00
1.425000000000000044e+00,1.045014045741408548e+00
1.429999999999999938e+00,9.681137475925640778e-01
1.435000000000000053e+00,9.823507013558178125e-01
